,Italian,English
1,abitare,to live/reside 
2,accendere,to turn on
3,accettare,to accept 
4,accompagnare,to accompany 
5,aggiornare,to update
6,aggiungere,to add 
7,aiutare,to help 
8,amare,to love 
9,ammettere,to admit
10,andare,to go 
11,apparire,to appear 
12,appartenere,to belong 
13,aprire,to open 
14,arrivare,to arrive 
15,asciugare,to dry
16,ascoltare,to listen 
17,aspettare,to wait 
18,assaggiare,to taste
19,aumentare,to increase 
20,avere,to have 
21,baciare,to kiss
22,ballare,to dance
23,bere,to drink 
24,bisognare,to need
25,buttare,to throw
26,cadere,to fall 
27,cambiare,to change 
28,camminare,to walk 
29,cantare,to sing 
30,capire,to understand 
31,cenare,to have dinner
32,cercare,to search/look for
33,chiamare,to call 
34,chiedere,to ask 
35,chiudere,to close 
36,cominciare,to begin 
37,compiere,to accomplish 
38,comprare,to buy 
39,comprendere,to understand/include 
40,condividere,to share
41,confondere,to confuse 
42,conoscere,to know (person/place)
43,conseguire,to achieve 
44,conservare,to preserve 
45,considerare,to consider 
46,consigliare,to advise
47,contare,to count 
48,continuare,to continue 
49,controllare,to check
50,convincere,to convince 
51,correggere,to correct 
52,correre,to run 
53,costare,to cost 
54,costruire,to build 
55,creare,to create 
56,credere,to believe 
57,crescere,to grow 
58,cucinare,to cook 
59,cuocere,to cook/bake 
60,curare,to care for/cure
61,dare,to give 
62,decidere,to decide 
63,descrivere,to describe 
64,desiderare,to desire/wish 
65,dichiarare,to declare 
66,difendere,to defend 
67,dimenticare,to forget 
68,dipingere,to paint 
69,dire,to say/tell 
70,dirigere,to direct 
71,discutere,to discuss 
72,disegnare,to draw 
73,distruggere,to destroy 
74,disturbare,to disturb
75,diventare,to become 
76,domandare,to ask 
77,dormire,to sleep 
78,dovere,must/to have to
79,dubitare,to doubt 
80,durare,to last 
81,eliminare,to eliminate 
82,entrare,to enter 
83,esercitare,to exercise
84,esistere,to exist 
85,esprimere,to express 
86,essere,to be 
87,evitare,to avoid 
88,fare,to do/make 
89,fermare,to stop 
90,finire,to finish 
91,fornire,to provide 
92,funzionare,to function 
93,giocare,to play 
94,girare,to turn
95,giungere,to arrive/reach 
96,godere,to enjoy 
97,gridare,to shout 
98,guadagnare,to earn 
99,guardare,to look/watch 
100,guidare,to drive/guide 
101,immaginare,to imagine 
102,imparare,to learn 
103,impedire,to prevent 
104,incontrare,to meet 
105,indossare,to wear 
106,indovinare,to guess
107,iniziare,to start 
108,insegnare,to teach 
109,invitare,to invite 
110,lasciare,to leave/let 
111,lavare,to wash
112,lavorare,to work 
113,leggere,to read 
114,litigare,to argue
115,lottare,to fight
116,mancare,to lack/miss 
117,mandare,to send 
118,mangiare,to eat 
119,mantenere,to maintain 
120,meritare,to deserve 
121,mescolare,to mix
122,mettere,to put 
123,migliorare,to improve
124,misurare,to measure 
125,mostrare,to show 
126,muovere,to move 
127,nascondere,to hide 
128,necessitare,to need/require 
129,nuotare,to swim 
130,offrire,to offer 
131,ordinare,to order 
132,organizzare,to organize 
133,ottenere,to obtain 
134,pagare,to pay 
135,parere,to seem/appear 
136,parlare,to speak 
137,partecipare,to participate 
138,partire,to leave/depart 
139,passare,to pass/spend time
140,peggiorare,to worsen
141,pensare,to think 
142,perdere,to lose 
143,permettere,to permit/allow 
144,piacere,to like/please 
145,piangere,to cry 
146,porre,to place/put 
147,portare,to bring/carry 
148,potere,can/to be able
149,pranzare,to have lunch
150,preferire,to prefer 
151,pregare,to pray / to beg
152,prendere,to take 
153,preparare,to prepare 
154,prestare,to lend 
155,produrre,to produce 
156,proteggere,to protect 
157,provare,to try 
158,pulire,to clean
159,raccontare,to tell/narrate 
160,ricevere,to receive 
161,ricordare,to remember 
162,ridere,to laugh 
163,riempire,to fill
164,rifiutare,to refuse
165,rimanere,to remain 
166,ringraziare,to thank
167,ripetere,to repeat
168,riposare,to rest
169,rischiare,to risk
170,risolvere,to solve
171,risparmiare,to save
172,rispondere,to answer 
173,rompere,to break
174,salire,to go up
175,sapere,to know 
176,sbagliare,to make a mistake
177,scegliere,to choose 
178,scendere,to go down
179,scoprire,to discover
180,scrivere,to write 
181,sedere,to sit 
182,seguire,to follow
183,sembrare,to seem 
184,sentire,to hear/feel 
185,servire,to serve/need 
186,sistemare,to organize
187,smettere,to stop/quit 
188,spedire,to send
189,spegnere,to turn off
190,spendere,to spend
191,sperare,to hope 
192,spiegare,to explain 
193,spingere,to push
194,sposare,to marry
195,stare,to stay/be 
196,studiare,to study 
197,succedere,to happen 
198,svegliare,to wake up
199,sviluppare,to develop
200,tagliare,to cut
201,telefonare,to call (by phone)
202,tenere,to hold/keep 
203,toccare,to touch 
204,togliere,to remove
205,tornare,to return 
206,tradurre,to translate
207,trovare,to find 
208,urlare,to scream
209,usare,to use 
210,uscire,to go out
211,vedere,to see 
212,vendere,to sell 
213,venire,to come 
214,vestire,to dress
215,viaggiare,to travel
216,vincere,to win 
217,visitare,to visit 
218,vivere,to live 
219,volare,to fly
220,volere,to want 