A,Presente de Indicativo,Respuesta
1,"Guardan  todos los documentos importantes en una caja fuerte. (guardar, ellos)",guardan
2,"Siempre ________________ la basura en los contenedores correspondientes. (tirar, yo)",tiro
3,"Fernando _______________ a su hija en la frente cada noche. (besar, él)",besa
4,"Cada vez que _______________ por la ventana, ves el mismo paisaje hermoso. (mirar, tú)",miras
5,"Cuando veo una película de terror, siempre _______________ porque me asusto mucho. (gritar, yo)",grito
6,"Cada mañana, Marta _______________ a las seis para hacer ejercicio antes de ir al trabajo. (levantarse, ella)",se levanta
7,"¿Dónde _______________ para la reunión de esta tarde? (quedar, nosotros)",quedamos
8,"Muchos artistas colombianos _______________ bien. (cantar, ellos)",cantan
9,"Cuando hacéis el trabajo en equipo, _______________ de manera muy eficiente. (funcionar, vosotros)",funcionáis
10,"¿Cómo _______________ a tu amigo en momentos difíciles? (apoyar, tú)",apoyas
11,"Los alumnos siempre _______________ los libros a la biblioteca antes de la fecha de vencimiento. (devolver, ellos)",devuelven
12,"Cada vez que juego a este videojuego, _______________ todos los obstáculos en mi camino. (destruir, yo)",destruyo
13,"¿Por qué _______________ tan rápido hoy? (andar, tú)",andas
14,"Angela _______________ un lugar tranquilo para descansar. (buscar, ella)",busca
15,"Ahora _______________ una merienda equilibrada para los niños. (servir, yo)",sirvo
16,La comida _______________ deliciosa. (oler),huele
17,Yo _______________ mi bicicleta y me dirijo hacia el parque cada mañana. (montar),monto
18,"Ganarás la jugada, pero sólo si _______________ la palabra correctamente. (adivinar)",adivinas
19,Nosotros _______________ mucha suerte de contar con alguien con su experiencia. (tener),tenemos
20,"Elisa y tú _______________ a la biblioteca, ¿verdad? (venir)",venis
21,Los niños _______________ en el parque todas las tardes después de la escuela. (jugar),juegan
22,Siempre vosotros _______________ juntos en la biblioteca antes de los exámenes. (estudiar),estudiáis
23,Yo _______________ la vida que quiero. (construir),construyo
24,Mi sobrina siempre _______________ en su diario antes de irse a dormir. (escribir),escribe
25,"Ellos no _______________ las reglas del juego, así que es mejor explicarlas. (concocer)",conocen
26,¿Tú _______________ al supermercado para comprar ingredientes para la cena? (ir),vas
27,Mi pareja _______________ mucho dinero en compras por internet. (gastar),gasta
28,Yo _______________ con mis mejores amigos hasta el final. (contar),cuento
29,Martín _______________ cómo arreglar la radio sin problemas. (saber),sabe
30,_______________ la competencia del debate gracias a nuestra preparación exhaustiva. (ganar),ganamos
31,"Cada mañana _______________  mi cama antes de salir de casa. (arreglar, yo)",arreglo
32,"Cecilia y Antonio _______________ de su viaje a Chile con buenas impresiones. (regresar, ellos)",regresan
33,"Durante las vacaciones, _______________ de la playa y del sol. (disfrutar, nosotros)",disfrutamos
34,"Hola, ¿con quién _______________ hablar? (desear, usted)",desea
35,"Últimamente, _______________ tus llaves en la entrada de la casa. (olvidar, tú)",olvidas
36,"Carolina siempre _______________ muchas cartas de sus amigos venezolanos. (recibir, ella)",recibe
37,"_______________ los muebles de lugar para tener más espacio. (cambiar, nosotros)",cambiamos
38,"¿Por qúe _______________ a los niños tener una hora extra de televisión? (permitir, vosotros)",permitís
39,"¿_______________ la música que está sonando en el fondo? (escuchar, tú)",escuchas
40,"Ellos siempre _______________ juntos los domingos por la tarde. (comer, ellos)",comen
41,"¿_______________ la ropa en el tendedero después de lavarla? (colgar, vosotros)",colgáis
42,"¿Qué _______________ en la televisión esta noche? (ver, nosotros)",vemos
43,"_______________ en que tomarás las decisiones correctas. (confiar, yo)",confío
44,"Siempre _______________ las luces de la terraza antes de acostarme. (apagar, yo)",apago
45,"_______________ el piano durante una hora por la tarde, ¿verdad? (practicar, tú)",practicas
46,"Aunque hablen mal de ti, _______________ en ti. (creer, nosotros)",creemos
47,"Miguel _______________ haciendo la tarea para mañana. (continuar, él)",continúa
48,"Cada vez que Martina viaja, ella _______________ la comida local para saborearla. (probar, ella)",prueba
49,"Ana y Sara _______________ comer en restaurantes vegetarianos. (preferir, ellas)",prefieren
50,"¿_______________ ir al cine esta noche o preferís quedaros en casa? (querer, vosotros)",queréis
B,Pretérito Indefinido (Pasado),
1,"¿Cuántos vasos de agua   bebieron   durante la caminata? (beber, ellos)",bebieron
2,"¿Cuánto tiempo _______________ en la fila para comprar las entradas? (esperar, tú)",esperaste
3,"Las autoridades _______________ la entrada al evento solo a los invitados registrados. (permitir, ellos)",permitieron
4,"Ella _______________ de alegría cuando recibió la buena noticia. (llorar, ella)",lloró
5,"¿Cómo os sentisteis cuando _______________ el concurso de talentos? (ganar, vosotros)",ganasteis
6,"Ayer en la clase de arte, _______________ las pinturas que vimos en el museo. (describir, nosotros)",describimos
7,"No _______________ porque estaba enferma. (cenar, yo)",cené
8,"¿Dónde _______________ en su empleo anterior y por qué lo dejó? (trabajar, usted)",trabajó
9,"¿Por qué _______________ las fotos de la pared sin preguntar? (quitar, tú)",quitasteis
10,"Cuando terminó la carrera, _______________ fuerte a nuestro compañero con mucha emoción. (abrazar, nosotros)",abrazamos
11,"Corrí para alcanzar el autobús y me _______________. (caer, yo)",caí
12,"¿_______________ de opinión sin decírmelo? (cambiar, vosotros)",cambiasteis
13,"¿Por qué no _______________ ayer? (almorzar, tú)",almorzaste
14,"Cristina _______________ el fuego de la chimenea con agua. (apagar, ella)",apagó
15,"Ustedes _______________ en la investigación sobre el cambio climático. (avanzar, ustedes)",avanzaron
16,Alguien  _______________ una maleta aquí sin darse cuenta. (dejar),dejó
17,¿Tú _______________ a la conferencia la semana pasada? (ir),fuiste
18,David y tú _______________ la verdad después de la conversación. (saber),supisteis
19,Yo _______________ un poco cuando llegué de clase. (descansar),descansé
20,"Mis padres _______________ comprar una casa en el campo, pero no encontraron una adecuada. (querer)",quisieron
21,Ayer Marco y yo _______________ el texto al español para facilitar la comprensión. (traducir),tradujimos
22,¿Por qué tú _______________ tan poco por todo el trabajo que hiciste? (cobrar),cobraste
23,Los vecinos __________ su comida al hombre sin hogar. (dar),dieron
24,La semana pasada yo __________ en una conferencia de prensa y fue muy interesante. (estar),estuve
25,Gerardo _______________ a todas las preguntas de la entrevista con confianza. (responder),respondió
26,¿Luis y tú _______________ el artículo sobre los avances científicos en el periódico de hoy? (leer),leísteis
27,El domingo pasado los atletas _______________ 25 kilómetros para prepararse para el maratón. (correr),corrieron
28,¿Por qué tú _______________ un análisis de mercado sobre el sector en el que no operamos? (hacer),hiciste
29,Mi prima y mi sobrina _______________ las responsables de organizar el gran evento. (ser),fueron
30,Cristóbal Colón _______________ América en 1492. (descubrir),descubrió
31,"La situación _______________ después de que se separaron. (empeorar, ella)",empeoró
32,"_______________ a mi amigo después de la discusión. (perdonar, yo)",perdoné
33,"Anoche _______________ por teléfono y hablamos por horas. (llamarse, nosotros)",nos llamamos
34,"¿_______________ el tanque de gasolina antes de salir de viaje? (llenar, ustedes)",llenaron
35,"Cuando el sol _______________, la temperatura también disminuyó. (bajar, él)",bajó
36,"¿_______________ en el lago durante las vacaciones de verano? (nadar, vosotros)",nadasteis
37,"_______________ la puerta justo a tiempo para ver el desfile. (abrir, tú)",abriste
38,"_______________ temprano de la fiesta porque no me sentía bien. (regresar, yo)",regresé
39,"Perdisteis porque _______________ al equipo equivocado. (apoyar, vosotros)",apoyasteis
40,"¿Recuerdas que ayer _______________ ayuda para limpiar la casa? (necesitar, nosotros)",necesitamos
41,"_______________ en nuestra idea desde el principio. (creer, usted)",creyó
42,"_______________ tus errores y aprendiste de ellos. (corregir, tú)",corregiste
43,"Anoche _______________ la chimenea porque hacía mucho frío. (encender, yo)",encendí
44,"¿Qué comentarios _______________ sobre el recital de anoche? (decir, vosotros)",dijisteis
45,"La semana pasada _______________ el vestido que compré porque no me quedaba bien. (devolver, yo)",devolví
46,"Los arqueólogos _______________ antiguas ruinas bajo la ciudad. (encontrar, ellos)",encontraron
47,"¿Dónde _______________ a tu mejor amigo? (conocer, tú)",conociste
48,"¿Por qué _______________ en que Victoria haría lo correcto? (confiar, vosotros)",confiasteis
49,"Sandra _______________ las instrucciones después de que se las expliqué por segunda vez. (entender, ella)",entendió
50,"Al final de la fiesta, _______________ de todos nuestros amigos. (despedirse, nosotros)",nos despedimos
C,Futuro de Indicativo,
1,"¿Cuándo  firmarás  el contrato de arrendamiento para la nueva oficina? (firmar, tú)",firmarás
2,"Mañana _______________ mi peinado. (cambiar, yo)",cambiaré
3,"Si seguís esta dieta, _______________ muchos alimentos poco saludables. (eliminar, vosotros)",eliminaréis
4,"Estoy seguro de que _______________ si llegamos tarde. (enfadarse, ellos)",se enfadarán
5,"_______________ la casa el sábado para que esté impecable para nuestros invitados. (limpiar, nosotros)",limpiáremos
6,"Nuestro perro perdido _______________ en la memoria de todos por mucho tiempo. (existir, él)",existirá
7,"El viernes _______________ un curso de cocina para aprender nuevas recetas. (tomar, yo)",tomaré
8,"¿_______________ a casa para celebrar las Navidades con nosotros? (regresar, tú)",regresarás
9,"Los expertos _______________ sobre los problemas del cambio climático en la conferencia. (hablar, ellos)",hablarán
10,"Vosotros _______________ las bebidas al picnic este fin de semana. (llevar, vosotros)",llevaréis
11,"A través de estas rutas _______________ un camino menos transitado. (conocer, vosotros)",conoceréis
12,"Si no estudias para el examen, _______________ muchos puntos. (perder, tú)",perderás
13,"_______________ una película de terror en el cine mañana, ¿te animas? (ver, nosotros)",veremos
14,"Siempre _______________ en la generosidad de las personas. (creer, yo)",creeré
15,"Este método de aprendizaje _______________ para entender mejor. (servir, él)",servirá
16,Usted _______________ de vacaciones sin salir del país. (salir),saldrá
17,Isabel y yo _______________ a tu mensaje en cuanto lleguemos a casa. (responder),responderemos
18,"Mañana, el director _________________ de la empresa después de 20 años de servicio. (despedirse)",se despedirá
19,Los pintores _________________ los colores antes de pintar la pared. (mezclar),mezclarán
20,"Te prometo que, al final del día, _______________ cómo hacer esto. (saber)",sabrás
21,Martina _________________ a su tía que está enferma en el hospital. (visitar),visitará
22,Yo _________________ a las seis de la mañana para ir al gimnasio antes de trabajar. (despertarse),me despertaré
23,¿_______________ empanadas esta noche o preferís algo diferente? (comer),comeréis
24,Tú _________________ en la mesa junto a la ventana. (sentarse),te sentarás
25,_________________ lo que pasó y seguiremos adelante. (olvidar),olvidaremos
26,Luisa _________________ con su vestido favorito para la fiesta. (vestirse),se vestirá
27,Los ladrones _________________ el botín en un lugar seguro antes de escapar. (esconder),esconderán
28,"Los niños se sienten cansados, ​​así que _________________ pronto. (acostarse)",se acostarán
29,Nosotros _________________ todas las causas que promuevan la igualdad. (apoyar),apoyaremos
30,Yo _________________ a la fiesta si termino mi trabajo a tiempo. (venir),vendré
31,"Dime, ¿crees que _______________ hasta el final de la película sin quedarte dormido? (durar, tú)",durarás
32,"Cuando termine la película, _______________ los personajes principales. (describir, vosotros)",describiréis
33,"Ella _______________ hasta que llegues para comenzar la cena. (esperar, ella)",esperará
34,"_______________ fuera esta noche, ¿qué te parece? (cenar, nosostros)",cenaremos
35,"_______________ la guía de viaje para conocer mejor el lugar que vamos a visitar. (estudiar, yo)",estudiaré
36,"Los nuevos protocolos de seguridad _______________ que ocurran más incidentes. (evitar, ellos)",evitarán
37,"Si seguimos hablando de esta historia, _______________ todos. (llorar, nosotros)",lloraremos
38,"Usted _______________ su permiso de conducir la próxima semana. (recibir, usted)",recibirá
39,"No te preocupes, algún día _______________ en el escenario. (bailar, tú)",bailarás
40,"Ellos _______________ en la nueva oficina a partir del mes que viene. (trabajar, ellos)",trabajarán
41,"Mis hijas _______________ en casa de su abuela este fin de semana. (dormir, ellas)",dormirán
42,"El curso _______________ el próximo lunes a las 9 de la mañana. (empezar, él)",empezará
43,"_______________ mejor el problema una vez que tengamos todos los datos. (entender, nosotros)",entenderemos
44,"El próximo mes, _______________ en mis estudios de español. (avanzar, yo)",avanzaré
45,"_______________ el aroma del café recién hecho cuando entréis a la pastelería. (oler, vosotros)",oleréis
46,"¿_______________ la entrada al cine por adelantado o en la taquilla? (pagar, tú)",pagarás
47,"_______________ el nuevo menú del restaurante de nuestro amigo. (probar, nosotros)",probaremos
48,"¿Cuándo _______________ Marcela su discurso para el evento? (practicar, ella)",practicará
49,"_______________ en ellos como si fueran de la familia. (confiar, tú)",confiarás
50,"El próximo año _______________ una nueva campaña publicitaria para la empresa. (dirigir, yo)",dirigiré
D,Gerundio (Presente),
1,"Ahora mismo  estoy llenando  la solicitud para el nuevo empleo. (llenar, yo)",estoy llenando
2,"Los luchadores profesionales ____________________ en el cuadrilátero cuerpo a cuerpo. (pelear, ellos)",están peleando
3,"Hace mucho calor, ¿por qué ____________________ la ventana? (cerrar, tú)",estás cerrando
4,"Es bueno ver que ____________________ unos a otros. (ayudar, vosotros)",estáis ayudando
5,"Laura ____________________ agua porque tiene mucha sed. (beber, ella)",está bebiendo
6,"Ahora mismo ____________________ en un restaurante nuevo. (comer, nosotros)",estamos comiendo
7,"Las civilizaciones ____________________ nuevos avances tecnológicos. (descubrir, ellas)",están descubriendo
8,"____________________ a un buen nivel en la piscina del gimnasio. (nadar, yo)",estoy nadando
9,"Veo que ____________________ mucho esfuerzo en este negocio. (poner, vosotros)",estáis poniendo
10,"Juan ____________________ la parrilla para el asado. (encender, él)",está encendiendo
11,"____________________ una nueva botella de vino para la cena. (abrir, nosotros)",estamos abriendo
12,"Cuando ____________________, ¿sientes que el tiempo se detiene? (volar, tú)",estás volando
13,"Veo que ____________________ cada vez más pistas en el caso. (encontrar, usted)",está encontrando
14,"Sé que ____________________, pero no quiero herir sus sentimientos. (mentir, yo)",estoy mintiendo
15,"Ellos ____________________ los últimos ajustes en el diseño del producto. (hacer, ellos)",están haciendo
16,Nosotros _______________ a la playa para disfrutar del sol y el mar. (ir),estamos yendo
17,Ellas ____________________ resolver el rompecabezas. (poder),están pudiendo
18,Gloria ____________________ estudiar en la biblioteca en lugar de su casa. (preferir),está prefiriendo
19,¿Tú ____________________ de mi comentario? (reirse),te estás riendo
20,¿Por qué Sandra y tú no ____________________ a la reunión? (venir),estáis viniendo
21,"Ahora mismo, yo ____________________ de mis compañeros porque es mi último día en el trabajo. (despedirse)",me estoy despidiendo
22,Pablo ____________________ porque recibió buenas noticias. (sonreir),está sonriendo
23,Los gatos ____________________ en el sofá mientras veo la televisión. (dormir),están durmiendo
24,Veo que tú ____________________ la serie desde el principio. (seguir),estás siguiendo
25,El cliente ____________________ un descuento especial para su próxima compra. (pedir),está pidiendo
26,Ana y yo ____________________ las bebidas a más de diez invitados. (servir),estamos sirviendo
27,Los médicos ____________________ buenos resultados en sus exámenes. (conseguir),están consiguiendo
28,Javier se ____________________ del patinete otra vez. (caer),está cayendo
29,¿Por qué ustedes____________________ en rumores sin fundamento? (creer),están creyendo
30,Catalina ____________________ que no puede asistir al karaoke. (decir),está diciendo
31,"_______________  más de lo que puede pagar en sus facturas. (deber, usted)",está debiendo
32,"En este momento, ____________________ a todos los clientes para confirmar sus citas. (llamar, nosotros)",estamos llamando
33,"Por ahora, los ingenieros ____________________ la falla técnica que nos tomó por sorpresa. (resolver, ellos)",están resolviendo
34,"____________________ mi pantalla para que todos puedan ver la diapositiva. (compartir, yo)",estoy compartiendo
35,"Parece que ____________________ el tema mucho mejor que antes. (entender, vosotros)",estáis entendiendo
36,"¿Por qué ____________________ solo? (cenar, tú)",estás cenando
37,"Las culturas antiguas ____________________ a través de sus tradiciones y costumbres. (existir, ellas)",están existiendo
38,"____________________ música desde la otra habitación. (oír, yo)",estoy oyendo
39,"Ahora mismo, ____________________ los resultados del último experimento. (revisar, nosotros)",estamos revisando
40,"Rubén ____________________ diferentes técnicas de entrenamiento para mejorar su condición física. (probar, él)",está probando
41,"¿____________________ por las escaleras? (bajar, vosotros)",estáis bajando
42,"Parece que ____________________ rápido en tu aprendizaje. (avanzar, tú)",estás avanzando
43,"Marisol ____________________ su vida en Barcelona. (amar, ella)",está amando
44,"____________________ a los trabajadores a seguir nuevas instrucciones para mejorar la seguridad. (obligar, nosotros)",estamos obligando
45,"A medida que las capas de hielo se están derritiendo, los niveles del mar ____________________. (subir, ellos)",están subiendo
46,"____________________ muchos mensajes de texto hoy, ¿todo está bien? (enviar, tú)",estás enviando
47,"____________________ mi bicicleta a mi hermano porque la suya está rota. (prestar, yo)",estoy prestando
48,"¿Qué ____________________ en la pantalla ahora mismo? (mirar, vosotros)",estáis mirando
49,"Beatriz ____________________ sus libros antiguos en una tienda de segunda mano. (vender, ella)",está vendiendo
50,"Juan ____________________ de que tengamos todo listo para el viaje. (asegurarse, él)",se está asegurando
E,Tiempos Verbales Combinados,
1,"En la última reunión, _______________ el nuevo proveedor para la empresa. (elegir, vosotros, pretérito pasado)",elegisteis
2,"_______________ todas las políticas de la empresa vía correo electrónico. (comunicar, nosotros, futuro)",comunicaremos
3,"En este momento, ____________________ un retrato para la exposición de arte. (pintar, yo, gerundio)",estoy pintando
4,"Con precios más competitivos _______________ más unidades. (vender, ustedes, futuro)",venderán
5,"_______________ pulpo a la gallega en la próxima clase. (cocinar, nosotros, futuro)",cocinaremos
6,"Francisco ____________________ a su ciudad natal después de muchos años. (regresar, él, gerundio)",está regresando
7,"Se enfermó cuando _______________ ostras la semana pasada. (comer, él, pretérito pasado)",comió
8,"_______________ nuestro viaje a Sevilla el año pasado. (amar, nosotros, pretérito pasado)",amamos
9,"Siempre _______________ después de cada comida. (descansar, tú, presente)",descansas
10,"Para hacer una buena salsa, la cocinera _______________ el tomate con las especias. (mezclar, ella, presente)",mezcla
11,"Cuando vi la película, _______________ que tuviera un final diferente. (desear, yo, pretérito pasado)",deseé
12,"¿Por qué no _______________ tu opinión frente a los demás? (expresar, tú, pretérito pasado)",expresaste
13,"_______________ el coche para que puedas aparcar en la entrada. (mover, yo, futuro)",moveré
14,"Daniela _______________ el mensaje que le dejaste en el contestador. (escuchar, ella, pretérito pasado)",escuchó
15,"Diego _______________ a Laura de no trabajar debido a su condición física en este momento. (aconsejar, él, presente)",aconseja
16,"Cuando llegamos al parque, _______________ las flores que acababan de florecer. (oler, nosotros, pretérito pasado)",olimos
17,"Cuando llegue a la siguiente estación, _______________ para descansar. (parar, yo, futuro)",pararé
18,"Ellas ____________________ demasiado tiempo en las redes sociales en lugar de trabajar. (gastar, ellas, gerundio)",están gastando
19,"Cada diciembre los voluntarios _______________ en el refugio a las personas sin hogar. (ayudar, ellos, presente)",ayudan
20,"Es mejor si _______________ sobre los detalles del viaje durante la cena. (hablar, nosotros, presente)",hablamos
21,"_______________ los muebles de la sala y quedaron como nuevos. (pintar, ustedes, pretérito pasado)",pintaron
22,"No os preocupéis, _______________ una carrera profesional exitosa. (construir, vosotros, futuro)",construiréis
23,"Actualmente, ____________________ un evento benéfico para recaudar fondos. (organizar, nosotros, gerundio)",estamos organizando
24,"¿Por qué ____________________ la ropa tan tarde en la noche? (lavar, tú, gerundio)",estás lavando
25,"¿Cómo _______________ nuestro rendimiento en el trabajo? (mejorar, nosotros, presente)",mejoramos
26,"La niña _______________ sus regalos de cumpleaños. (abrir, ella, presente)",abre
27,"_______________ una partida de ajedrez con mi hermano anoche y fue muy divertido. (jugar, yo, pretérito pasado)",jugué
28,"Cada mañana _______________ a la oficina a las ocho en punto. (entrar, yo, presente)",entro
29,"¿_______________ todo el camino hasta Madrid? (conducir, vosotros, pretérito pasado)",condujisteis
30,"Mis amigas siempre _______________ un sombrero cuando salen al sol. (llevar, ellas, presente)",llevan
31,"_______________ el documento ayer para completar el proceso de inscripción. (firmar, yo, pretérito pasado)",firmé
32,"El comité _______________ una conferencia sobre sostenibilidad el próximo mes. (organizar, él, futuro)",organizará
33,"_______________ la tarta de queso en 8 partes iguales. (cortar, nosotros, futuro)",cortaremos
34,"Cada vez que hago una compra por internet, ustedes _______________ un correo de confirmación. (enviar, ustedes, presente)",envian
35,"Con el paso del tiempo _______________ a Marta por su error. (perdonar, tú, futuro)",perdonarás
36,"Creo que ____________________ lo importante que es este detalle. (olvidar, vosotros, gerundio)",estáis olvidando
37,"El bebé _______________ tranquilamente en su cuna. (dormir, él, presente)",duerme
38,"El equipo _______________ el partido por tres puntos. (perder, él, gerundio)",está perdiendo
39,"____________________ a su equipo por no cumplir con el plazo. (perdonar, usted, gerundio)",está perdonando
40,"Prometo que _______________ en todas las fotos de la boda. (sonreir, yo, futuro)",sonreiré
41,"Ten paciencia, Mauro se abrirá y  _______________  sus pensamientos contigo. (compartir, él, futuro)",compartirá
42,"La profesora ____________________ cómo resolver la ecuación matemática paso a paso. (mostrar, ella, gerundio)",está mostrando
43,"____________________ los documentos importantes en una caja secreta. (esconder, yo, gerundio)",estoy escondiendo
44,"Hace tres dias _______________ el informe de investigación al jefe de departamento. (entregar, yo, pretérito pasado)",entregué
45,"Ahora mismo _______________ en un informe importante para la reunión. (trabajar, yo, gerundio)",estoy trabajando
46,"Siempre _______________ los conceptos de manera muy clara durante las clases. (explicar, tú, presente)",explicas
47,"¿_______________ en la iglesia durante la ceremonia de mañana? (rezar, tú, futuro)",rezarás
48,"¿Cuándo fue la última vez que __________  a un amigo? (aconsejar, vosotros, pretérito pasado)",aconsejasteis
49,"Ahora mismo mis compañeros ____________________ en la cafetería. (desayunar, ellos, gerundio)",están desayunando
50,"¿Qué detalles _______________ en la reunión de planificación mañana? (pedir, ustedes, futuro)",pedirán
51,"No recuerdo la última vez que nos _______________. (besar, nosotros, pretérito pasado)",besamos
52,"El profesor _______________ un tema complicado con ejemplos muy sencillos en la última lección. (explicar, él, pretérito pasado)",explicó
53,"¿____________________ el tiempo libre para hacer algo divertido? (aprovechar, vosotros, gerundio)",estáis aprovechando
54,"Mi pareja y yo _______________ este restaurante a nuestros amigos. (recomendar, nosotros, futuro)",recomendaremos
55,"¿Cuándo _______________ tu aportación al grupo? (entregar, tú, futuro)",entregarás
56,"Si _______________ por este camino, llegaréis más rápido. (seguir, vosotros, presente)",seguís
57,"Cuando _______________ que cometiste un error, no estás ayudando a resolver el problema. (negar, tú, presente)",niegas
58,"La jefa _______________ a todos a asistir a la reunión de urgencia. (obilgar, ella, pretérito pasado)",obligó
59,"Como tutor, _______________ a mis estudiantes a entregar sus tareas a tiempo. (obligar, yo, presente)",obligo
60,"Los organizadores del evento ____________________ más sillas para los invitados. (necesitar, ellos, gerundio)",están necesitando
61,"Las nuevas estrategias de marketing _______________ bien y aumentaron las ventas. (funcionar, ellas, pretérito pasado)",funcionaron
62,"Mientras ____________________ la sal en la receta, asegúrate de medir bien. (echar, tú, gerundio)",estás echando
63,"_______________ que ella llegue a tiempo para la reunión debido al tráfico. (dudar, yo, presente)",dudo
64,"Mis compañeros _______________ en la oficina trabajando en el informe final. (estar, ellos, presente)",están
65,"El técnico _______________ el ascensor lo antes posible. (arreglar, él, futuro)",arreglará
66,"____________________ tarde, no me esperes. (volver, yo, gerundio)",estoy volviendo
67,"Cada lunes, _______________ una reunión para revisar el progreso del equipo. (organizar, yo, presente)",organizo
68,"Yo no _______________ que nadie hable mal de mis amigos. (permitir, yo, futuro)",permitiré
69,"____________________ algunos desperfectos en el proceso para alcanzar la máxima producción. (eliminar, nosotros, gerundio)",estamos eliminando
70,"¿____________________ para que te perdonen por el error cometido? (rogar, tú, gerundio)",estás rogando
71,"¿Cuánto creéis que _______________ en las vacaciones de verano? (gastar, vosotros, futuro)",gastaréis
72,"_______________ en un pequeño pueblo. (crecer, tú, pretérito pasado)",creciste
73,"En la clase de hoy, ____________________ apuntes sobre un tema nuevo. (coger, nosotros, gerundio)",estamos cogiendo
74,"¿A qué hora _______________ a trabajar esta mañana? (empezar, tú, pretérito pasado)",empezaste
75,"_______________ el evento con mucha atención. (dirigir, ellas, pretérito pasado)",dirigieron
76,"Mis abuelos siempre _______________ en efectivo cuando van al mercado. (pagar, ellos, presente)",pagan
77,"____________________ la situación con vuestros comentarios negativos. (empeorar, vosotros, gerundio)",estáis empeorando
78,"Siempre _______________ a nuestros amigos para que se unan a nuestras aventuras. (convencer, nosotros, presente)",convencemos
79,"¿_______________ español el próximo semestre en la academia? (enseñar, vosotros, futuro)",enseñaréis
80,"No _______________ 7 horas, preferirán volar. (conducir, ellas, futuro)",conducirán